Case_ID,Activity,Timestamp,User,T_Code,Document_Number,Document_Type,Company_Code,Plant,Purchasing_Group,Material_Group,Vendor,Vendor_Name,Net_Value,Currency
PR-1000045678,Purchase Requisition Created,2024-09-03T12:14:32,USR_REQ09,ME51N,1000045678,NB,2000,2100,300,003,1000000234,Beta Office LLC,40027.63,RUB
PR-1000045657,Purchase Requisition Created,2024-09-04T14:32:29,USR_REQ04,ME51N,1000045657,NB,1000,1200,100,002,1000000789,Eta Services,3141822.97,RUB
PR-1000045678,Purchase Requisition Released,2024-09-06T17:44:36,USR_APPR01,ME54N,1000045678,NB,2000,2100,300,003,1000000234,Beta Office LLC,40027.63,RUB
PR-1000045621,Purchase Requisition Created,2024-09-09T16:27:42,USR_REQ06,ME51N,1000045621,NB,1000,1100,100,005,1000000678,Zeta Industrial,152209.90,RUB
PR-1000045603,Purchase Requisition Created,2024-09-10T11:49:18,USR_REQ02,ME51N,1000045603,NB,2000,2100,200,005,1000000123,Alpha Technologies,228871.92,RUB
PR-1000045678,Purchase Order Created,2024-09-10T13:25:29,USR_BUYER05,ME21N,4500012358,NB,2000,2100,300,003,1000000234,Beta Office LLC,40027.63,RUB
PR-1000045646,Purchase Requisition Created,2024-09-10T13:56:49,USR_REQ10,ME51N,1000045646,NB,1000,1100,200,004,1000000234,Beta Office LLC,1205287.55,RUB
PR-1000045621,Purchase Requisition Released,2024-09-10T16:41:21,USR_APPR01,ME54N,1000045621,NB,1000,1100,100,005,1000000678,Zeta Industrial,152209.90,RUB
PR-1000045603,Purchase Requisition Released,2024-09-11T09:24:17,USR_APPR02,ME54N,1000045603,NB,2000,2100,200,005,1000000123,Alpha Technologies,228871.92,RUB
PR-1000045646,Purchase Requisition Released,2024-09-11T17:24:09,USR_APPR01,ME54N,1000045646,NB,1000,1100,200,004,1000000234,Beta Office LLC,1205287.55,RUB
PR-1000045621,Purchase Order Created,2024-09-12T15:06:27,USR_BUYER03,ME21N,4500012315,NB,1000,1100,100,005,1000000678,Zeta Industrial,152209.90,RUB
PR-1000045646,Purchase Requisition Rejected,2024-09-12T17:51:57,USR_APPR01,ME54N,1000045646,NB,1000,1100,200,004,1000000234,Beta Office LLC,1205287.55,RUB
PR-1000045603,Purchase Order Created,2024-09-13T10:23:22,USR_BUYER02,ME21N,4500012302,NB,2000,2100,200,005,1000000123,Alpha Technologies,228871.92,RUB
PR-1000045670,Purchase Requisition Created,2024-09-13T13:05:34,USR_REQ04,ME51N,1000045670,NB,1000,1200,300,002,1000000789,Eta Services,47557.52,RUB
PR-1000045678,Purchase Order Released,2024-09-13T16:09:22,USR_APPR01,ME28,4500012358,NB,2000,2100,300,003,1000000234,Beta Office LLC,40027.63,RUB
